GyroX,GyroY,GyroZ,AccelX,AccelY,AccelZ,MagX,MagY,MagZ,Temperature
0.32839,-0.24594,0.11330,0.00562,-0.00102,-1.01198,26.883,-1.267,45.647,25.006
0.38484,-0.04547,0.22850,0.00088,-0.00591,-1.00812,26.862,-0.872,45.712,24.995
0.42977,-0.43803,0.08316,0.00392,0.00699,-1.00193,26.894,-1.138,45.897,24.945
0.43524,-0.44718,-0.26299,-0.00486,-0.00733,-0.99299,26.966,-1.505,45.913,24.951
0.33706,-0.26408,0.14716,0.00655,0.00511,-0.99720,26.962,-1.080,45.545,24.966
0.27950,-0.14510,0.09248,0.01869,-0.00655,-1.00879,26.992,-0.845,45.828,25.044
0.56395,-0.23410,-0.08344,-0.00426,0.00762,-1.01155,26.808,-1.137,45.622,25.039
0.43712,0.12821,0.22300,-0.00488,-0.00449,-1.00665,27.038,-1.342,45.684,25.040
0.24148,-0.26405,-0.14619,-0.00866,-0.00454,-0.99667,27.098,-1.205,45.767,25.012
0.51271,-0.08600,0.17105,-0.00809,0.00723,-0.99695,27.107,-1.207,46.190,24.986
0.58896,-0.20273,0.05256,-0.00903,-0.00121,-0.98861,27.004,-1.028,45.107,25.040
0.43338,-0.30249,0.03589,-0.00002,0.01380,-1.00844,26.693,-0.860,45.590,24.986
0.36467,-0.40619,0.16299,-0.00968,0.00708,-0.99997,27.371,-1.130,46.043,24.940
0.33168,-0.17153,0.39186,-0.01345,0.00792,-0.99527,27.183,-1.022,45.714,24.979
0.16277,-0.19069,0.10125,0.01616,-0.00489,-0.99744,26.408,-1.299,45.767,25.047
0.56722,-0.22662,-0.03759,0.00366,0.00414,-0.99607,26.625,-0.917,45.723,25.041
0.54111,-0.12861,0.17298,0.01722,0.00195,-1.00237,26.828,-0.829,45.731,25.032
0.52936,-0.29693,-0.12899,0.00240,0.00184,-1.00486,27.018,-1.048,45.453,25.033
0.32058,-0.44245,0.19794,-0.00036,-0.00596,-0.99582,26.922,-1.344,45.801,25.058
0.24310,-0.16287,0.13041,0.01813,-0.01490,-0.99444,26.723,-1.225,46.177,25.007
0.68614,-0.28632,0.18258,-0.00393,-0.00553,-0.99950,26.729,-1.149,45.175,25.108
0.32495,0.04144,-0.02107,0.00234,0.02532,-1.00696,26.426,-1.337,45.819,25.043
0.54356,-0.25855,-0.11034,-0.00348,0.00992,-0.99627,26.311,-1.209,46.051,25.115
0.43425,-0.17360,-0.05603,-0.00675,0.00038,-0.99597,26.945,-1.320,45.413,24.970
0.17645,-0.12349,-0.21684,-0.00267,0.00360,-0.98782,26.818,-0.950,45.602,24.972
0.24884,0.00910,0.27913,0.00390,0.02664,-1.00026,26.955,-1.123,45.646,25.126
0.57599,-0.42992,0.07002,0.00343,0.00627,-1.01079,26.236,-1.677,45.683,25.005
0.40178,-0.33545,-0.05364,-0.01618,0.00263,-0.99704,27.048,-1.002,45.654,25.078
0.32954,-0.31913,0.05191,-0.00468,-0.01733,-0.99875,26.862,-1.291,45.523,25.030
0.60753,-0.21426,0.05385,-0.00473,-0.00056,-1.01012,26.769,-1.185,46.162,25.059
0.50510,-0.32694,0.23049,-0.00912,0.00250,-0.99665,26.608,-0.700,45.843,24.917
0.43293,-0.28111,0.13021,0.00373,0.00312,-1.01631,26.510,-1.007,46.027,25.108
0.62048,-0.52833,0.24542,-0.01533,0.01291,-0.99797,26.515,-0.698,45.862,24.918
0.39402,-0.32967,0.14669,-0.00372,0.01099,-1.01139,26.879,-0.746,45.495,25.024
0.38030,-0.32346,0.22718,0.00078,-0.00755,-0.98590,26.998,-1.242,45.542,24.974
0.53464,-0.24197,0.19892,-0.00148,0.00493,-1.00093,26.991,-1.246,45.909,25.048
0.33251,-0.34897,-0.01102,-0.00593,-0.00788,-0.99307,26.788,-0.807,46.271,25.016
0.11780,-0.27722,0.11870,-0.01191,-0.00200,-0.99770,26.685,-1.392,45.512,25.104
0.32605,-0.34449,0.07407,0.00763,-0.00548,-0.99615,26.982,-1.013,46.051,24.988
0.51991,-0.33893,0.07052,0.00957,0.00658,-0.99998,26.502,-1.060,45.544,24.969
0.25278,-0.18303,-0.18815,0.00289,0.00139,-1.00468,27.059,-1.047,45.550,24.982
0.45427,-0.44741,0.08011,-0.00505,0.00056,-0.99831,26.809,-0.916,45.758,25.001
0.16837,-0.11172,0.20922,0.01161,-0.00598,-0.99979,26.785,-1.222,45.704,24.931
0.47375,-0.12202,0.29957,0.01800,-0.00255,-1.00029,26.802,-0.714,45.268,25.041
0.12938,-0.60724,-0.17312,-0.01105,0.00855,-1.00695,26.743,-1.491,45.854,24.963
0.54765,-0.36897,0.01528,0.00098,0.00020,-0.98860,26.830,-1.502,45.561,24.989
0.45876,-0.16243,0.11209,0.00696,-0.00423,-1.00109,26.845,-0.818,45.677,25.001
0.19312,-0.11709,0.04185,0.00275,-0.01521,-0.99165,26.467,-1.394,45.966,24.952
0.33808,-0.20886,-0.01978,0.01074,0.01199,-1.01577,26.438,-0.998,45.376,25.000
